,date,headlines,ticker,company
312,2023-08-09,Indian gaming site #MPL to lay off 350 employees after 28% #GST on real-money gaming,Indian Energy Exchange Limited,EQ
313,2023-08-09,"Dish TV reports #Q1 earnings. 

▶️Net profit up 14.5% at ₹20.5 cr vs ₹17.9 cr (YoY)
▶️Revenue down 17.8% at ₹500.2 cr vs ₹608.6 cr (YoY)",Dish TV India Limited,EQ
314,2023-08-09,"Aarti Industries reports #Q1 earnings. 

▶️Net profit down 48.5% at ₹70 cr vs ₹136 cr (YoY)
▶️Revenue down 12.2% at ₹1,414 cr vs ₹1,610 (YoY)
▶️EBITDA down 28.7% at ₹201 cr vs ₹282 cr (YoY)
▶️Margin at 14.2% vs 17.5% (YoY)",Aarti Drugs Limited,EQ
315,2023-08-09,"Prestige Estates Projects reports #Q1 earnings. 

▶️Net profit up 30.2% at ₹267 cr vs ₹205 cr (YoY)
▶️Revenue down 13.3% at ₹1,680.9 cr vs ₹1,938.5 cr (YoY)
▶️EBITDA up 14.1% at ₹526.7 cr vs ₹461.7 cr (YoY)
▶️EBITDA margin at 31.3% vs 23.8% (YoY)",Prestige Estates Projects Limited,EQ
316,2023-08-09,"Birla Corp reports #Q1 earnings. 

▶️Net profit down 3.6% at ₹59.7 cr vs ₹61.9 cr (YoY)
▶️Revenue up 9.3% at ₹2,408.5 cr vs ₹2,203.8 cr (YoY)
▶️EBITDA up 14.8% at ₹297.7 cr vs ₹259.4 cr (YoY)
▶️Margin at 12.4% vs 11.8% (YoY)",Birla Cable Limited,EQ
317,2023-08-09,"Jet Airways reports #Q1 earnings. 

▶️Net loss at ₹50.7 cr vs ₹390.1 cr (YoY)
▶️Revenue at ₹37.6 cr vs ₹12.5 cr (YoY)",Jet Airways (India) Limited,BZ
319,2023-08-09,Delhivery bags contract from Havells India for supply chain solutions in the western region,Bank of India,EQ
320,2023-08-09,"SEBI approves Ipca’s open offer to acquire 26% stake in co, says Unichem Lab",Unichem Laboratories Limited,EQ
321,2023-08-09,"Dixon Tech in focus

Laptop, tablet manufacturers like HP, Apple & Dell seek an extension of 9-12 months to the implementation of import curb order",Dixon Technologies (India) Limited,EQ
322,2023-08-09,"Uno Minda reports #Q1 earnings.
 
▶️Net profit up 24.4% at ₹172.8 cr vs ₹138.8 cr (YoY)
▶️Revenue up 21% at ₹3,092.7 cr vs ₹2,555.2 cr (YoY)
▶️EBITDA up 24.1% at ₹330.1 cr vs ₹265.9 cr (YoY)
▶️Margin at 10.7% vs 10.4% (YoY)",Minda Corporation Limited,EQ
323,2023-08-09,"Kalyan Jewellers reports #Q1 earnings  

▶️Net profit up 33.3% at  ₹144 cr vs ₹108 cr (YoY)

▶️Revenue up 31.3% at  ₹4,375.7 cr vs ₹3,332.6 cr (YoY)

▶️EBITDA up 22.2% at  ₹322.8 cr vs ₹264.2 cr (YoY)

▶️EBITDA margin at 7.4% vs 7.9% (YoY)",Kalyan Jewellers India Limited,EQ
325,2023-08-09,"Taj GVK reports #Q1 earnings.

▶️Net profit down 17.5% at  ₹13.2 cr vs ₹16 cr (YoY)
▶️Revenue up 7.1% at  ₹91.6 cr vs ₹85.5 cr (YoY)
▶️EBITDA down 11.4% at  ₹26.2 cr vs ₹29.5 cr (YoY)
▶️Margin at 28.6% vs 34.6% (YoY)",GVK Power & Infrastructure Limited,BE
326,2023-08-09,"Bharat Forge reports #Q1 earnings

▶️Standalone net profit up 27.8% at ₹311.5 cr vs ₹243.7 cr (YoY)

▶️Standalone revenue up 20.9% at ₹2,127.3 cr vs ₹1,759.4 cr (YoY)

▶️Standalone EBITDA up 26.1% at  ₹548.7 cr vs ₹435.1 cr (YoY)

▶️Standalone EBITDA margin  at 25.8% vs 24.7% (YoY)",Bharat Bijlee Limited,EQ
329,2023-08-09,"TD Power reports #Q1 earnings

- Net profit up 24.2% at ₹26.7 cr vs ₹21.5 cr (YoY)

- Revenue up 7.7% at ₹220.3 cr vs ₹204.5 cr (YoY)

- EBITDA up 40% at ₹38.7 cr vs ₹27.6 cr (YoY)

- Margin at 17.6% vs 13.5% (YoY)",Power Finance Corporation Limited,EQ
330,2023-08-09,"Sandhar Tech reports #Q1 earnings

▶️Net profit up 68.5% at ₹21.4 cr vs ₹12.7 cr (YoY)

▶️Revenue up 22.8% at ₹828.9 cr vs ₹675.1 cr (YoY)

▶️EBITDA up 33.6% at ₹72.8 cr vs ₹54.5 cr (YoY)

▶️EBITDA margin at 8.8% vs 8% (YoY)",Sandhar Technologies Limited,EQ
332,2023-08-09,"V-Guard reports #Q1 earnings

▶️Net profit up 20.2% at  ₹64.2 cr vs ₹53.4 cr (YoY)

▶️Revenue up 19.3% at  ₹1,214.8 cr vs ₹1,018.3 cr (YoY)

▶️EBITDA up 27.9% at  ₹104.9 cr vs ₹82 cr (YoY)

▶️EBITDA margin at 8.6% vs 8.1% (YoY)",V-Guard Industries Limited,EQ
333,2023-08-09,"Bajaj Cons reports #Q1 earnings

▶️Net profit up 36.3% at  ₹46.2 cr vs ₹33.9 cr (YoY)

▶️Revenue up 8.3% at  ₹270.2 cr vs ₹249.4 cr (YoY)

▶️EBITDA up 31.6% at  ₹47.9 cr vs ₹36.14 cr (YoY)

▶️EBITDA margin at 17.7% vs 14.6% (YoY)",Bajaj Auto Limited,EQ
334,2023-08-09,"Vadilal Industries reports #Q1 earnings

▶️Net profit down 32.7% at  ₹10.5 cr vs ₹15.6 cr (YoY)

▶️Revenue up 4.5% at  ₹434.7 cr vs ₹415.8 cr (YoY)

▶️EBITDA down 28.4% at  ₹16.4 cr vs ₹22.9 cr (YoY)

▶️EBITDA margin at 3.8% vs 5.5% (YoY)",Vadilal Industries Limited,EQ
335,2023-08-09,"Shankara Building Products reports #Q1 earnings

- Net profit up 44.2% at ₹17. 3cr vs ₹12 cr (YoY)

- Revenue up 36% at ₹1,132.1 cr vs ₹832.5 cr (YoY)

- EBITDA up 30.8% at ₹34 cr vs ₹26 cr (YoY)

- Margin at 3% vs 3.1% (YoY)",Shankara Building Products Limited,EQ
337,2023-08-09,"Vijaya Diagnostic reports #Q1 earnings. 

▶️Net profit up 49.7% at ₹26.2 cr vs ₹17.5 cr (YoY)
▶️Revenue up 15.9% at ₹121 cr vs ₹104.4 cr (YoY)
▶️EBITDA up 20.3% at ₹48.1 cr vs ₹40 cr (YoY)
▶️Margin at 39.8% vs 38.3% (YoY)",Vijaya Diagnostic Centre Limited,EQ
340,2023-08-09,"Natco Pharma reports #Q1 earnings

▶️Net profit up 31.2% at ₹420.3 cr vs ₹320.4 cr (YoY)

▶️Revenue up 28.9% at ₹1,140.5 cr vs ₹884.6 cr (YoY)

▶️EBITDA up 33.6% at ₹538 cr vs ₹395.3 cr (YoY)

▶️EBITDA margin at 46.3% vs 44.7% (YoY)",Natco Pharma Limited,EQ
341,2023-08-09,"Berger Paints reports #Q1 earnings. 

▶️Profit up 39.9% at ₹354.4 cr vs ₹253.4 cr (YoY)
▶️Revenue up 9.8% at ₹3,029.5 cr vs ₹2,759.7 cr (YoY)
▶️EBITDA up 37.5% at ₹556.7 cr vs ₹404.9 cr (YoY)
▶️Margin at 18.4% vs 14.7% (YoY)",Berger Paints (I) Limited,EQ
342,2023-08-09,Berger Paints board approves 1 bonus share for 5 held,Berger Paints (I) Limited,EQ
343,2023-08-09,"Granules India reports #Q1 earnings. 

▶️Net profit down 62.4% at ₹47.9 cr vs ₹127.5 cr (YoY)
▶️Revenue down 3.3% at ₹985.5 cr vs ₹1,019.5 cr (YoY)
▶️EBITDA down 35.3% at ₹136.8 cr vs ₹211.4 cr (YoY)
▶️Margin at 13.9% vs 20.7% (YoY)",Bank of India,EQ
344,2023-08-09,"JB Chemicals reports #Q1 earnings. 

▶️Net profit up 35% at ₹142 cr vs ₹105 cr (YoY)
▶️Revenue up 14% at ₹896 cr vs ₹785 cr (YoY)
▶️EBITDA up 28% at ₹243 cr vs ₹190 cr (YoY)
▶️Margin at 27.1% vs 24.2% (YoY)",JB Chemicals & Pharmaceuticals Limited,EQ
345,2023-08-09,"Visaka Industries reports #Q1 earnings. 

▶️Net profit down 69.1% at ₹11.9 cr vs ₹38.5 cr (YoY)
▶️Revenue down 6.6% at ₹448 cr vs ₹479.7 cr (YoY)
▶️EBITDA down 43.6% at ₹36 cr vs ₹63.7 cr (YoY)
▶️Margin at 8% vs 13.3% (YoY)",Visaka Industries Limited,EQ
346,2023-08-09,"Bata India reports #Q1 earnings. 

▶️Net profit down 10.3% at ₹106.8 cr vs ₹119 cr (YoY)
▶️Revenue up 1.6% at ₹958.1 cr vs ₹943 cr (YoY)
▶️EBITDA down 2.2% at ₹239.3 cr vs ₹244.7 cr (YoY)
▶️Margin at 25% vs 26% (YoY)",Bank of India,EQ
349,2023-08-09,"Tata Power reports #Q1 earnings. 

▶️Net profit up 22.4% at ₹972.5 cr vs ₹794.6 cr (YoY)
▶️Revenue up 5% at ₹15,213.3 cr vs ₹14,495.5 cr (YoY)
▶️EBITDA up 74.9% at ₹2,943.6 cr vs ₹1,683.4 cr (YoY)
▶️Margin at 19.4% vs 11.6% (YoY)",Power Finance Corporation Limited,EQ
351,2023-08-09,"NewsFlash | The Digital Personal Data Protection Bill, 2023 passed in Rajya Sabha

#RajyaSabha #DataProtectionBill #DataProtection",The Andhra Sugars Limited,EQ
352,2023-08-09,.@AxisBank to acquire remaining 7% stake in Max Life Insurance,Life Insurance Corporation Of India,EQ
356,2023-08-10,"Amazon to acquire 1,000 electric trucks from Eicher Motors",Eicher Motors Limited,EQ
357,2023-08-10,"Axis Entities To Acquire Addl 6.03% In Max Life 

Axis Entities= Axis Bk, Axis Cap, Axis Sec 

#Axis Entities Already Hold 12.99% In Max Life 

#MaxLife Shareholding Post Deal:
▪️Axis Bank 16.22%
▪️Axis Cap & Axis Sec 2.8%

Big +ve For Max Fin, But -ve For Axis Bk",Axis Bank Limited,EQ
358,2023-08-10,"Reliance Capital sells 45.43% stake in Reliance Home Finance for ₹54.5 cr in open market, holding in Reliance Home Fin comes down to 2.47% after the stake sale",Capital Trust Limited,EQ
359,2023-08-10,ITD Cementation bags order worth $205 million in Bangladesh,ITD Cementation India Limited,EQ
362,2023-08-10,"Hindalco, Texmaco enter into a strategic alliance to make aluminium rail wagons and coaches",Texmaco Infrastructure & Holdings Limited,EQ
363,2023-08-10,"CarTrade Tech reports #Q1 earnings. 

▶️Net profit at ₹13 cr vs ₹2.6cr (YoY)
▶️Revenue up 4.6% at ₹86.1 cr vs ₹82.3 cr (YoY)
▶️EBITDA at ₹5.6 cr vs ₹2 cr (YoY)
▶️EBITDA margin at 6.5% vs 2.4% (YoY)

▶️Other income at ₹20.8 cr vs ₹10 cr (YoY)",Tech Mahindra Limited,EQ
364,2023-08-10,Mirza Intl says Redtape gets BSE & NSE nod to list on exchanges,BSE,BSE Limited
365,2023-08-11,"#MSCI Global Standard Index Review: PFC, REC, IDFC First among eight inclusions, ACC excluded",ACC,ACC Limited
366,2023-08-11,"#MSCI releases list of Stocks as part of August Global Standard Index review effective Sep 1, 2023

INCLUSIONS: PFC, REC, Astral, Cummins, Ashok Leyland, Supreme Industries, IDFC First Bank & HDFC AMC

EXCLUSIONS: ACC",ACC,ACC Limited
368,2023-08-11,"Hero MotoCorp #Q1 Results | Net profit surges 32% to Rs 825 crore, misses estimates",Hero MotoCorp Limited,EQ
370,2023-08-11,"#NCLT approves Zee Entertainment-Sony India #merger, dismisses all objections",Bank of India,EQ
371,2023-08-11,"Campus Activewear reports #Q1 earnings. 

▶️Net profit up 0.6% at ₹31.5 cr vs ₹31.3 cr (YoY)
▶️Revenue up 4.8% at ₹353.8 cr vs ₹337.7 cr (YoY)
▶️EBITDA up 7.3% at ₹66.2 cr vs ₹61.7 cr (YoY)
▶️Margin at 18.7% vs 18.3% (YoY)",Campus Activewear Limited,EQ
372,2023-08-11,"NBCC reports #Q1 earnings.

▶️Net profit at ₹75 cr vs loss of ₹6.3 cr (YoY)
▶️Revenue up 7.1% at ₹1,913.8 cr vs ₹1,786.7 cr (YoY)
▶️EBITDA up 32.5% at ₹53.1 cr vs ₹40.1 cr (YoY)
▶️EBITDA margin at 2.8% vs 2.2% (YoY)",NBCC,NBCC (India) Limited
373,2023-08-11,"Indiabulls Real Estate reports #Q1 earnings. 

▶️Net loss at ₹679.5 cr vs loss of ₹52 cr (YoY)
▶️Revenue up 29.2% at ₹195.8 cr vs ₹151.5 cr (YoY)
▶️EBITDA loss at ₹57.7 cr vs EBITDA loss of ₹36.3 cr (YoY)",Indiabulls Real Estate Limited,EQ
374,2023-08-11,"Honeywell Automation reports #Q1 earnings. 

▶️Net profit up 1.4% at ₹103.4 cr vs ₹102 cr (YoY)
▶️Revenue up 18.5% at ₹932 cr vs ₹786.2 cr (YoY)
▶️EBITDA down 1.4% at ₹120.3 cr vs ₹122 cr (YoY)
▶️EBITDA margin at 12.9% vs 15.5% (YoY)",Honeywell Automation India Limited,EQ
375,2023-08-11,"Sanofi India reports #Q2 earnings. 

▶️Net profit up 2.2% at ₹123 cr vs ₹120.4 cr (YoY)
▶️Revenue up 1% at ₹706.1 cr vs ₹699.3 cr (YoY)
▶️EBITDA up 8% at ₹286.3 cr vs ₹265.1 cr (YoY)
▶️EBITDA margin at 40.6% vs 37.9% (YoY)",Bank of India,EQ
376,2023-08-11,"Mazagon Dock reports #Q1 earnings. 

Net profit up 39.8% at ₹314.3 cr vs ₹224.8 cr (YoY)
Revenue down 2.6% at ₹2,172.8 cr vs ₹2,230 cr (YoY)
EBITDA down 1.2% at ₹171.8 cr vs ₹173.9 cr (YoY)
EBITDA margin at 7.9% vs 7.8% (YoY)",Mazagon Dock Shipbuilders Limited,EQ
377,2023-08-11,"Alembic reports #Q1 earnings. 

▶️Net profit at ₹10 cr vs ₹3.9 cr (YoY)
▶️Revenue up 66.5% at ₹36.8 cr vs ₹22.1 cr (YoY)
▶️EBITDA up 99.4% at ₹10.8 cr vs ₹5.4 cr (YoY)
▶️EBITDA margin at 29.4% vs 24.6% (YoY)",Alembic Limited,EQ
378,2023-08-11,"Torrent Power reports #Q1 earnings

- Net Profit up 6% At ₹532.3 Cr Vs ₹502 Cr (YoY)

- Revenue up 12.6% At ₹7,327.6 Cr Vs ₹6,510.3 Cr (YoY)

- EBITDA up 11.7% At ₹1,184.8 Cr Vs ₹1,060.4 Cr (YoY)

- Margin At 16.2% Vs 16.3% (YoY)",Power Finance Corporation Limited,EQ
379,2023-08-11,"Somany Ceramics reports #Q1 earnings. 

▶️Net profit down 28.8% at ₹14.6 cr vs ₹20.5 cr (YoY)
▶️Revenue up 4.8% at ₹586 cr vs ₹559.2 cr (YoY)
▶️EBITDA up 11.2% at ₹50.1 cr vs ₹45 cr (YoY)
▶️EBITDA margin at 8.5% vs 8.1% (YoY)",Somany Ceramics Limited,EQ
380,2023-08-11,#NewsFlash | Adani Enterprises denies reports of exiting Wilmar Venture,Adani Enterprises Limited,EQ
380,2023-08-11,#NewsFlash | Adani Enterprises denies reports of exiting Wilmar Venture,Adani Enterprises Limited,EQ
380,2023-08-11,#NewsFlash | Adani Enterprises denies reports of exiting Wilmar Venture,Adani Enterprises Limited,EQ
380,2023-08-11,#NewsFlash | Adani Enterprises denies reports of exiting Wilmar Venture,Adani Enterprises Limited,EQ
380,2023-08-11,#NewsFlash | Adani Enterprises denies reports of exiting Wilmar Venture,Adani Enterprises Limited,EQ
380,2023-08-11,#NewsFlash | Adani Enterprises denies reports of exiting Wilmar Venture,Adani Enterprises Limited,EQ
380,2023-08-11,#NewsFlash | Adani Enterprises denies reports of exiting Wilmar Venture,Adani Enterprises Limited,EQ
381,2023-08-11,"NCC reports #Q1 earnings

- Net profit up 33.9% at ₹173.5 cr vs ₹129.6 cr (YoY)

- Revenue up 31.9% at ₹4,380.4 cr vs ₹3,321.4 cr (YoY)

- EBITDA up 32.9% at ₹409.2 cr vs ₹307.9 cr (YoY)

- Margin Flat At 9.3% (YoY)",NCC,NCC Limited
382,2023-08-11,"India Nippon Electricals reports #Q1 earnings

- Net profit at ₹9.7 cr vs ₹3.7 cr (YoY)

- Revenue up 2.6% at ₹159.8 cr vs ₹155.7 cr (YoY)

- EBITDA up 4.2% at ₹9.9 cr vs ₹9.5 cr (YoY)

- Margin at 6.2% vs 6.1% (YoY)",Bank of India,EQ
383,2023-08-11,"Avanti Feeds reports #Q1 earnings. 

▶️Net Profit up 60.5% At ₹106.4 Cr Vs ₹66.3 Cr (YoY)
▶️Revenue down 1% At ₹1,553.7 Cr Vs ₹1,569 Cr (YoY)
▶️EBITDA up 32.7% At ₹137.6 Cr Vs ₹103.7 Cr (YoY)
▶️Margin At 8.9% Vs 6.6% (YoY)",Avanti Feeds Limited,EQ
384,2023-08-11,"Page Ind Q1

-Net Profit down 23.5% At ₹158.3 Cr Vs ₹207 Cr (YoY)

-Revenue down 7.6% At ₹1,240 Cr Vs ₹1,341.3 Cr (YoY)

-EBITDA down 18.8% At ₹241.7 Cr Vs ₹298 Cr (YoY)

-EBITDA Margin At 19.5% Vs 22.2% (YoY)",Page Industries Limited,EQ
385,2023-08-11,"Time Technoplast reports #Q1 earnings

- Net profit up 36.3% at ₹56.1 cr vs ₹44 cr (YoY)

- Revenue up 14.3% at ₹1,079.3 cr vs ₹944.5 cr (YoY)

- EBITDA up 19.1% at ₹147.3 cr vs ₹123.7 cr (YoY)

- EBITDA Margin At 13.6% Vs 13.1% (YoY)",Time Technoplast Limited,EQ
386,2023-08-11,"Graphite India reports #Q1 earnings

- Net loss at ₹30 cr vs profit of ₹24 cr (YoY)

- Revenue down 13.7% at ₹747 cr vs ₹866 cr (YoY)

- EBITDA loss at ₹91 cr vs EBITDA of ₹28 cr (YoY)",Bank of India,EQ
387,2023-08-11,"FACT Q1

-Net profit down 47.6% at ₹71.8 cr vs ₹137 cr (YoY)
-Revenue down 4.6% at ₹1,232.6 cr vs ₹1,292.4 cr (YoY)
-EBITDA down 19.6% at ₹147 Cr vs ₹183 Cr (YoY)
-EBITDA margin at 12% vs 14.1% (YoY)",FACT,Fertilizers and Chemicals Travancore Limited
388,2023-08-11,"KCP reports #Q1 earnings

- Net profit up 14.8% at ₹49.4 cr vs ₹43 cr (YoY)

- Revenue up 31.4% at ₹744.1 cr vs ₹566.4 cr (YoY)

- EBITDA up 3.9% at ₹67.4 cr vs ₹65 cr (YoY)

- EBITDA margin at 9.1% vs 11.5% (YoY)",KCP,KCP Limited
390,2023-08-11,"3M India reports #Q1 earnings

- Net profit up 53.3% at ₹129.2 cr vs ₹84.3 cr (YoY)

- Revenue up 11.2% at ₹1,049.7 cr vs ₹943.6 cr (YoY)

- EBITDA up 48.6% at ₹173 cr vs ₹116.5 cr (YoY)

- EBITDA Margin At 16.5% Vs 12.3% (YoY)",3M India Limited,EQ
392,2023-08-11,"TVS Srichakra reports #Q1 earnings. 

▶️Net profit at ₹21 cr vs loss of ₹2 cr (YoY)
▶️Revenue down 5% at ₹702 cr vs ₹738 cr (YoY)
▶️EBITDA up 91% at ₹61 cr vs ₹32 cr (YoY)
▶️EBITDA margin at 8.7% vs 4.4% (YoY)",TVS Electronics Limited,EQ
393,2023-08-11,Tilaknagar Ind made pre-payment of restructured debt worth Rs 176.2 cr to Edelweiss ARC. Prepayment is funded through debt of Rs 130 cr from Kotak Bank & internal accruals,Edelweiss Financial Services Limited,EQ
395,2023-08-11,"GVK Power reports #Q1 earnings

- Net profit at ₹118.7 cr vs loss of ₹356.7 cr (YoY)

- Revenue down 18.6% at ₹500.4 cr vs ₹614.7 cr (YoY)

- EBITDA up 41.0% at ₹453.3 cr vs ₹321.4 cr (YoY)

- EBITDA margin at 91% vs 52.3% (YoY)",GVK Power & Infrastructure Limited,BE
396,2023-08-11,"Info Edge reports #Q1 earnings

- Net profit up 11.8% at ₹200 cr vs ₹179 cr (QoQ)

- Revenue up 3.6% at ₹584.2 cr vs ₹563.9 cr (QoQ)

- EBITDA up 2.9% at ₹226.6 cr vs ₹220.2 cr (QoQ)

- EBITDA Margin At 38.8% Vs 39% (QoQ)",Info Edge (India) Limited,EQ
398,2023-08-11,"Jyoti Structures reports #Q1 earnings

- Net profit at ₹2.4 cr vs loss of ₹0.1 cr (YoY)

- Revenue at ₹185.2 cr vs ₹15.6 cr (YoY)

- EBITDA at ₹3.9 cr vs ₹0.5 cr (YoY)

- EBITDA margin at 2.1% vs 3.5% (YoY)",Jyoti Structures Limited,BZ
399,2023-08-11,"Marine Electricals reports #Q1 earnings

- Net profit up 38.5% at ₹3.6 cr vs ₹3 cr (YoY)

- Revenue up 22.4% at ₹101.1 cr vs ₹82.6 cr (YoY)

- EBITDA up 67% at ₹9.7 cr vs ₹5.8 cr (YoY)

- EBITDA margin at 9.6% vs 7% (YoY)",Marine Electricals (India) Limited,EQ
400,2023-08-11,"ACE Q1

-Net Profit up 55.2% at ₹67.5 cr vs ₹44 cr (YoY)
-Revenue up 31.0% at ₹651.6 cr vs ₹497.7 cr (YoY)
-EBITDA at ₹81.6 cr vs ₹40.6 cr (YoY)
-EBITDA Margin at 12.5% Vs 8.2% (YoY)",ACE,Action Construction Equipment Limited
402,2023-08-11,"Dredging Corp reports #Q1 earnings. 

▶️Net profit at ₹15.2 cr vs loss of ₹14.2 cr (YoY)
▶️Revenue down 39.4% at ₹204.4 cr vs ₹337.2 cr (YoY)
▶️EBITDA ₹56.1 cr vs ₹26.8 cr (YoY)
▶️EBITDA margin at 27.5% vs 8% (YoY)",Dredging Corporation of India Limited,EQ
403,2023-08-11,NCLAT stays NCLT order of initiating insolvency resolution process: Coffee Day says,Coffee Day Enterprises Limited,EQ
404,2023-08-11,"Hindustan Aeronautics reports #Q1 earnings. 

▶️Net profit up 30.3% at ₹814.1 cr vs ₹620 cr (YoY)
▶️Revenue up 8.1% at ₹3,915.4 cr vs 3,622.5 cr (YoY)
▶️EBITDA up 6.1% at ₹876.9 cr vs ₹826.3 cr (YoY)
▶️Margin at 22.4% vs 22.8% (YoY)",Hindustan Aeronautics Limited,EQ
405,2023-08-13,"Atul Auto reports #Q1 earnings. (Standalone)

▶️Net loss at ₹8 cr vs loss of ₹4.2 cr (YoY)
▶️Revenue down 47.9% at ₹50.4 cr vs ₹96.8 cr  (YoY)",Atul Limited,EQ
406,2023-08-13,"ABB India reports #Q2 earnings. 

▶️Net profit at ₹295.6 cr vs ₹140.3 cr (YoY)
▶️Revenue up 22.2% at ₹2,508.6 cr vs ₹2,052.5 cr (YoY)
▶️EBITDA up 75.4% at ₹348.7 cr vs ₹198.8 cr (YoY)
▶️Margin at 13.9% vs 9.7% (YoY)",ABB,ABB India Limited
407,2023-08-13,"| City Union Bank reports #Q1 earnings. 

▶️Net profit up 1% at ₹227.3 cr  vs ₹225.1 cr (YoY)
▶️NII down 0.4% at ₹522.6 cr vs ₹524.9 cr (YoY)

▶️Gross NPA at 4.91% vs 4.37% (QoQ)
▶️Net NPA at 2.51% vs 2.36% (QoQ)
▶️Gross NPA at 2,081.1 cr vs ₹1,920.2 cr (QoQ)
▶️Net NPA at ₹1,038.6 cr  vs ₹1,017.6 cr (QoQ)",City Union Bank Limited,EQ
409,2023-08-13,"Patanjali Foods reports #Q1 earnings

- Net profit down 63.7% at Rs 87.6 cr vs Rs 241.6 cr (YoY)

- Revenue up 7.7% at Rs 7,767.1 cr vs Rs 7,211 cr (YoY)

- EBITDA down 57% at Rs 168.6 cr vs Rs 391.7 cr (YoY)

- Margin at 2.2% vs 5.4% (YoY)",Foods & Inns Limited,EQ
410,2023-08-13,"Ather Energy targets 30% market share, to launch 2 new EVs and architecture: CEO Tarun Mehta",Energy Development Company Limited,EQ
411,2023-08-13,Deloitte to resign as Adani Ports Auditor after raising concerns,Adani Ports and Special Economic Zone Limited,EQ
411,2023-08-13,Deloitte to resign as Adani Ports Auditor after raising concerns,Adani Ports and Special Economic Zone Limited,EQ
411,2023-08-13,Deloitte to resign as Adani Ports Auditor after raising concerns,Adani Ports and Special Economic Zone Limited,EQ
411,2023-08-13,Deloitte to resign as Adani Ports Auditor after raising concerns,Adani Ports and Special Economic Zone Limited,EQ
411,2023-08-13,Deloitte to resign as Adani Ports Auditor after raising concerns,Adani Ports and Special Economic Zone Limited,EQ
411,2023-08-13,Deloitte to resign as Adani Ports Auditor after raising concerns,Adani Ports and Special Economic Zone Limited,EQ
411,2023-08-13,Deloitte to resign as Adani Ports Auditor after raising concerns,Adani Ports and Special Economic Zone Limited,EQ
416,2023-08-13,"Timken India to shut Jamshedpur plant from August 25-September 3, 2023 on low demand and better demand planning for production efficiency",Bank of India,EQ
422,2023-08-13,"Uno Minda Arm Uno Minda Buehler Motor commissions EV systems plant in Bawal, Haryana, the plant will manufacture traction motors/BLDC motors for EV 2-wheeler and 3-wheeler",Minda Corporation Limited,EQ
423,2023-08-13,"#FPIs infuse Rs 3,200 crore in Indian equities on global uncertainty, concerns over #China",Indian Energy Exchange Limited,EQ
425,2023-08-14,"L&T Construction bags orders worth Rs 1,000-2,500 cr for its buildings & factories business",L&T Finance Holdings Limited,EQ
426,2023-08-14,"PVR Inox says it has achieved the feat of highest ever admissions and box office in a single day across its circuit on August 13, 2023. It saw 12.8 lac guests and earned Gross box office revenue of Rs 39.5 crore",PVR,PVR Limited
427,2023-08-14,"Garden Reach Shipbuilders expects to maintain similar growth levels for the rest of the fiscal. Its target is to maintain Rs 24,000 cr order book by the end of this year",Garden Reach Shipbuilders & Engineers Limited,EQ
428,2023-08-14,"Galaxy Surfactants expects to maintain Q1 growth to continue for the rest of the year, sees volume growth in the range of 6-8% for FY24",Galaxy Surfactants Limited,EQ
432,2023-08-14,IRCTC signs agreement with Delhi Metro to provide metro tickets through its platform,IRCTC,Indian Railway Catering And Tourism Corporation Limited
434,2023-08-14,"Sakthi Sugars reports #Q1 earnings

- Net profit down 53.5% at ₹80.6 cr vs ₹173.4 cr (YoY)

- Revenue up 23% at ₹370 cr vs ₹302 cr (YoY)

- EBITDA up 18% at ₹39 cr vs ₹33 cr (YoY)

- Margin at 10.5% vs 10.9% (YoY)",Sakthi Sugars Limited,EQ
435,2023-08-14,"Nectar Lifesciences reports #Q1 earnings

- Net profit down 53.2% at ₹1.8 cr vs ₹3.9 cr (YoY)

- Revenue down 2.2% at ₹394 cr vs ₹403 cr (YoY)

- EBITDA down 15.1% at ₹35.5 cr vs ₹41.8 cr (YoY)

- Margin at 9% vs 10.4% (YoY)",Nectar Lifesciences Limited,EQ
437,2023-08-14,"Jai Balaji Industries reports #Q1 earnings

- Net profit at ₹170.4 cr vs ₹22 cr (YoY)

- Revenue down 0.8% at ₹1,482.6 cr vs ₹1,494.7 cr (YoY)

- EBITDA at ₹205.3 cr vs ₹59.5 cr (YoY)

- Margin at 13.8% vs 4% (YoY)",Balaji Telefilms Limited,EQ
438,2023-08-14,"Saksoft reports #Q1 earnings

- Net profit up 41% at ₹25.1 cr vs ₹12 cr (YoY)

- Revenue up 24% at ₹183.5 cr vs ₹148 cr (YoY)

- EBITDA up 54% at ₹34.6 cr vs ₹22.5 cr (YoY)

- Margin at 18.9% vs 15.2% (YoY)",Saksoft Limited,EQ
439,2023-08-14,"AstraZeneca reports #Q1 earnings

- Net profit at ₹54 cr vs ₹20.1 cr (YoY)

- Revenue up 27.2% at ₹295.5 cr vs ₹232.3 cr (YoY)

- EBITDA at ₹67.2 cr vs ₹28 cr (YoY)

- Margin at 22.7% vs 12% (YoY)",AstraZeneca Pharma India Limited,EQ
440,2023-08-14,"DCW reports #Q1 earnings

- Net profit down 83% at ₹10 cr vs ₹58.7 cr (YoY)

- Revenue down 43% at ₹438 cr vs ₹768.6 cr (YoY)

- EBITDA down 58% at ₹51.1 cr vs ₹121.7 cr (YoY)

- Margin at 11.7% vs 15.8% (YoY)",DCW,DCW Limited
